date,Price
01-May-17,94655.31
02-May-17,94355.91
03-May-17,93862.74
04-May-17,93038.49
05-May-17,93928.39
06-May-17,93928.39
07-May-17,93928.39
08-May-17,93832.70
09-May-17,95323.38
10-May-17,96194.20
11-May-17,95114.06
12-May-17,94996.35
13-May-17,94996.35
14-May-17,94996.35
15-May-17,95587.75
16-May-17,96161.50
17-May-17,95724.95
18-May-17,95147.34
19-May-17,95147.34
20-May-17,95147.34
21-May-17,95147.34
22-May-17,96400.03
23-May-17,97717.48
24-May-17,98313.77
25-May-17,97712.94
26-May-17,97533.28
27-May-17,97533.28
28-May-17,97533.28
29-May-17,97725.95
30-May-17,97347.63
31-May-17,97541.58
01-Jun-17,97365.79
02-Jun-17,98867.90
03-Jun-17,98867.90
04-Jun-17,98867.90
05-Jun-17,98191.97
06-Jun-17,98331.54
07-Jun-17,97616.52
08-Jun-17,97977.54
09-Jun-17,98942.87
10-Jun-17,98942.87
11-Jun-17,98942.87
12-Jun-17,99442.11
13-Jun-17,99299.67
14-Jun-17,99636.27
15-Jun-17,98737.01
16-Jun-17,98192.55
17-Jun-17,98192.55
18-Jun-17,98192.55
19-Jun-17,99332.13
20-Jun-17,99269.27
21-Jun-17,99390.12
22-Jun-17,100072.15
23-Jun-17,99638.65
24-Jun-17,99638.65
25-Jun-17,99638.65
26-Jun-17,99638.65
27-Jun-17,99638.65
28-Jun-17,100617.69
29-Jun-17,100190.32
30-Jun-17,100440.39
01-Jul-17,100440.39
02-Jul-17,100440.39
03-Jul-17,100522.30
04-Jul-17,101207.79
05-Jul-17,100744.45
06-Jul-17,100627.01
07-Jul-17,100084.37
08-Jul-17,100084.37
09-Jul-17,100084.37
10-Jul-17,101097.16
11-Jul-17,103182.64
12-Jul-17,103809.78
13-Jul-17,104210.22
14-Jul-17,105175.73
15-Jul-17,105175.73
16-Jul-17,105175.73
17-Jul-17,106217.00
18-Jul-17,105718.31
19-Jul-17,107417.52
20-Jul-17,106735.56
21-Jul-17,106842.79
22-Jul-17,106842.79
23-Jul-17,106842.79
24-Jul-17,106710.52
25-Jul-17,107040.67
26-Jul-17,107206.16
27-Jul-17,108391.71
28-Jul-17,107699.72
29-Jul-17,107699.72
30-Jul-17,107699.72
31-Jul-17,107531.44
01-Aug-17,106147.43
02-Aug-17,106525.44
03-Aug-17,107153.78
04-Aug-17,108545.31
05-Aug-17,108545.31
06-Aug-17,108545.31
07-Aug-17,109781.13
08-Aug-17,109639.12
09-Aug-17,108714.58
10-Aug-17,107800.42
11-Aug-17,106963.10
12-Aug-17,106963.10
13-Aug-17,106963.10
14-Aug-17,109537.36
15-Aug-17,106913.26
16-Aug-17,106861.99
17-Aug-17,106825.33
18-Aug-17,107202.43
19-Aug-17,107202.43
20-Aug-17,107202.43
21-Aug-17,108614.87
22-Aug-17,108594.45
23-Aug-17,108952.73
24-Aug-17,109153.91
25-Aug-17,109755.14
26-Aug-17,109755.14
27-Aug-17,109755.14
28-Aug-17,110339.99
29-Aug-17,110423.11
30-Aug-17,110423.11
31-Aug-17,110010.49
01-Sep-17,110010.49
02-Sep-17,110010.49
03-Sep-17,110010.49
04-Sep-17,110010.49
05-Sep-17,108872.99
06-Sep-17,109611.79
07-Sep-17,109742.95
08-Sep-17,108451.70
09-Sep-17,108451.70
10-Sep-17,108451.70
11-Sep-17,109458.01
12-Sep-17,109129.65
13-Sep-17,108155.53
14-Sep-17,108244.22
15-Sep-17,107741.70
16-Sep-17,107741.70
17-Sep-17,107741.70
18-Sep-17,106534.60
19-Sep-17,104917.77
20-Sep-17,105323.67
