Max_Temp,Min_Temp,Precipitation,date
21,17,0.0,2017-05-01
21,19,0.0,2017-05-02
24,20,0.0,2017-05-03
24,21,0.0,2017-05-04
26,22,0.0,2017-05-05
22,15,2.5,2017-05-06
25,15,3.0,2017-05-07
25,19,2.5999999999999996,2017-05-08
24,18,6.7,2017-05-09
19,14,2.8,2017-05-10
23,18,0.0,2017-05-11
29,24,0.0,2017-05-12
31,27,0.0,2017-05-13
26,23,0.0,2017-05-14
20,17,0.7000000000000001,2017-05-15
22,19,0.0,2017-05-16
21,16,1.3,2017-05-17
20,18,2.6,2017-05-18
19,18,0.0,2017-05-19
21,20,0.0,2017-05-20
18,13,9.1,2017-05-21
20,18,1.1,2017-05-22
21,19,2.1,2017-05-23
22,19,0.0,2017-05-24
26,22,0.1,2017-05-25
25,22,0.1,2017-05-26
23,20,0.0,2017-05-27
23,18,0.1,2017-05-28
24,21,0.0,2017-05-29
22,17,5.9,2017-05-30
26,22,1.3,2017-05-31
29,24,1.8,2017-06-01
30,27,0.0,2017-06-02
30,26,0.0,2017-06-03
26,23,0.0,2017-06-04
26,24,0.0,2017-06-05
27,24,0.0,2017-06-06
32,27,0.0,2017-06-07
32,27,0.5,2017-06-08
21,18,1.9000000000000001,2017-06-09
22,17,5.1,2017-06-10
27,24,0.0,2017-06-11
25,23,0.0,2017-06-12
27,24,0.0,2017-06-13
29,26,0.0,2017-06-14
29,24,1.1,2017-06-15
27,24,0.0,2017-06-16
29,26,0.0,2017-06-17
25,21,1.7000000000000002,2017-06-18
21,20,8.2,2017-06-19
27,26,1.2000000000000002,2017-06-20
31,27,0.0,2017-06-21
32,28,0.0,2017-06-22
35,30,0.0,2017-06-23
31,29,0.0,2017-06-24
31,27,0.0,2017-06-25
30,26,0.0,2017-06-26
32,28,0.0,2017-06-27
33,30,0.0,2017-06-28
38,33,0.0,2017-06-29
38,34,0.0,2017-06-30
38,34,0.0,2017-07-01
36,32,0.0,2017-07-02
35,30,0.0,2017-07-03
25,22,12.7,2017-07-04
27,25,0.0,2017-07-05
27,24,0.0,2017-07-06
28,24,0.0,2017-07-07
28,25,0.0,2017-07-08
33,30,0.0,2017-07-09
31,28,0.0,2017-07-10
31,26,0.0,2017-07-11
32,28,0.0,2017-07-12
33,31,0.0,2017-07-13
31,27,0.0,2017-07-14
28,26,0.0,2017-07-15
28,25,0.5,2017-07-16
26,23,0.7,2017-07-17
25,22,30.8,2017-07-18
28,25,0.5,2017-07-19
28,25,0.1,2017-07-20
29,26,0.0,2017-07-21
29,25,0.0,2017-07-22
31,30,0.0,2017-07-23
32,29,0.0,2017-07-24
39,33,0.0,2017-07-25
35,31,0.0,2017-07-26
33,32,0.9,2017-07-27
28,24,0.7,2017-07-28
32,26,0.0,2017-07-29
31,29,0.0,2017-07-30
28,24,0.0,2017-07-31
28,25,0.0,2017-08-01
29,27,0.0,2017-08-02
32,28,0.2,2017-08-03
32,29,0.0,2017-08-04
33,29,0.0,2017-08-05
34,30,0.30000000000000004,2017-08-06
34,30,0.1,2017-08-07
31,28,0.0,2017-08-08
29,26,0.2,2017-08-09
30,26,0.0,2017-08-10
32,27,0.0,2017-08-11
32,29,0.0,2017-08-12
34,30,0.0,2017-08-13
26,23,0.2,2017-08-14
27,24,1.2000000000000002,2017-08-15
29,27,0.8,2017-08-16
29,27,8.5,2017-08-17
30,28,0.0,2017-08-18
30,27,0.0,2017-08-19
30,27,0.0,2017-08-20
30,23,0.7000000000000001,2017-08-21
23,21,4.1000000000000005,2017-08-22
27,24,0.1,2017-08-23
27,25,0.0,2017-08-24
27,24,0.0,2017-08-25
27,24,0.0,2017-08-26
27,25,0.0,2017-08-27
28,25,0.0,2017-08-28
29,24,0.30000000000000004,2017-08-29
24,21,1.0,2017-08-30
25,21,0.2,2017-08-31
26,21,0.0,2017-09-01
29,24,0.0,2017-09-02
34,25,0.0,2017-09-03
27,24,0.0,2017-09-04
26,23,0.0,2017-09-05
24,21,0.0,2017-09-06
28,21,0.0,2017-09-07
31,25,0.0,2017-09-08
32,26,0.0,2017-09-09
34,27,0.0,2017-09-10
35,28,0.0,2017-09-11
32,29,0.0,2017-09-12
30,25,0.0,2017-09-13
28,24,0.0,2017-09-14
28,25,0.0,2017-09-15
28,23,0.0,2017-09-16
30,23,0.0,2017-09-17
31,27,0.0,2017-09-18
31,25,0.0,2017-09-19
39,28,0.0,2017-09-20
